Dept,Department
ACCY,Accountancy
ACSC,Actuarial Science
AHCD,Allied Health and Communicative Disorders
AHLS,Medical Laboratory Sciences
AHPT,Physical Therapy
ANTH,Anthropology
ART,Art
ARTD,Design and Media Arts
ARTE,Art and Design Education
ARTH,Art History
ARTS,Studio
BADM,Business Administration
BIOS,Biological Sciences
BKST,Black Studies
BME,Biomedical Engineering
CHEM,Chemistry
CEE,Civil and Environmental Engineering
COMD,Communicative Disorders
COMS,Communication Studies
COUN,Counseling
CSCI,Computer Science
EAE,"Earth, Atmosphere and Environment"
ECON,Economics
ELE,Electrical Engineering
ENGL,English
ENVS,Environmental Studies
EPFE,Foundations of Education
EPS,Educational Psychology
ETR,Research and Assessment
ETRA,"Educational Technology, Research & Assessment"
ETT,Instructional Technology
FACS,Family and Consumer Sciences
FINA,Finance
FLAL,Applied Linguistics and General
FLAR,Arabic
FLBU,Burmese
FLCH,Chinese
FLCL,Classical Languages
FLFR,French
FLGE,German
FLIN,Indonesian
FLIS,Foreign Language Independent Study
FLIT,Italian
FLJA,Japanese
FLKH,Khmer
FLMT,Foreign Language Methods
FLPL,Polish
FLPO,Portuguese
FLPT,Foreign Language Student Teaching
FLRU,Russian
FLSL,American Sign Language
FLSP,Spanish
FLST,Special Topics
FLTA,Tagalog
FLTH,Thai
FLTR,Foreign Language Translation
FSMD,Fashion Merchandising
GERO,Gerontology
HDFS,Human Development and Family Sciences
HESA,Higher Education and Student Affairs
HIST,History
HLTH,Health Studies
HON,Honors Seminar
HOSP,Hospitality and Tourism Management
HSCI,Health Sciences
IDSP,Inter - College Interdisciplinary
IEET,Interdisciplinary Engineering and Engineering Technology
ILAS,Interdisciplinary Liberal Arts and Sciences
INTL,International Programs
ISYE,Industrial Engineering
IVPA,Intra Visual & Performing Arts
JOUR,Journalism
KNDN,Physical Education Dance
KNPE,Physical Education
LATS,Latin and Latin American Studies
LEBM,School Business Management
LEEA,Educational Administration
LESM,Sport Management
LTCY,Literacy Education
LTDH,Deaf and Hard of Hearing
LTIC,Bilingual/ESL
LTLA,Language Arts
LTRE,Reading
MATH,Mathematical Sciences
MCTR,Mechatronics Engineering
MDST,Medieval Studies
MEE,Mechanical Engineering
MET,Meteorology
MGMT,Management
MILS,Military Science
MKTG,Marketing
MLTL,Middle Level Teaching and Learning
MUED,Music Education
MUHL,Music History and Literature
MUSC,Music General
MUSE,Music Ensembles
MUSP,Music Performance
MUTC,Music Theory and Composition
NNGO,Nonprofit and NGO Studies
NURS,Nursing
NUTR,"Nutrition, Dietetics, and Wellness"
OELP,Office of Educator Licensure and Preparation
OMIS,Operations Management and Information Systems
PHHE,Public Health and Health Education
PHIL,Philosophy
PHYS,Physics
POLS,Political Science
PSPA,Public Administration
PSYC,Psychology
REHB,Rehabilitation and Disability Services
SCL,Social Change Leadership
SEAS,Southeast Asian Studies
SEEC,Early Childhood Education
SESE,Special Education
SEVI,Visual Impairments
SIHP,School of Interdisciplinary Health Professions
SOCI,Sociology
SPGA,School of Public and Global Affairs
STAT,Statistics
TECH, EngineeringTechnology
THEA,Theatre Arts
TH-D,Dance Performance
TLCI,Curriculum and Instruction
TLEE,Elementary Education
UBUS,Interdisciplinary Business
UEDU,Interdisciplinary Education
UEET,Interdisciplinary Engineering and Engineering Technology
UHHS,Interdisciplinary Health and Human Sciences
UNIV,University - Wide Interdisciplinary
WGSS,"Women, Gender, and Sexuality Studies"
